source,target
"chest discomfort, persistent cough",bronchitis
chest tightness,asthma
"persistent sadness, loss of interest",depression
nasal congestion and sneezing,allergic_rhinitis
"Complains of fever, fatigue, dry cough, loss of smell",covid-19
"Complains of nausea, diarrhea",gastroenteritis
persistent cough and shortness o,bronchitis
I have sweating,heart_disease
"shortness of breath, bone pain for a week",osteoporosis
"sensitivity to light, visual aura",migraine
"Complains of blurred vision, nosebleed",hypertension
"nausea, severe headache",migraine
restlessness,anxiety
"hearing difficulty, fever, ear drainage, ear pain since yesterday",otitis_media
fatigue,anemia
right lower abdominal pain,appendicitis
"chest pain, sweating",heart_disease
"fatigue, shortness of breath, nausea, sensitivity to light, severe headache, visual aura",migraine
"mild trembling, sweating",anxiety
"ear drainage, left arm pain, fever",otitis_media
Complains of fatigue,depression
"nasal congestion, mild cough, sneezing",common_cold
"Complains of sweating, restlessness for a week",anxiety
"moderate shortness of breath, pale skin, dizziness",anemia
fractures,osteoporosis
"sweating, chest pain and left arm pain",heart_disease
"Patient reports sweating, left arm pain, chest pain",heart_disease
burning urination for a week,urinary_tract_infection
"blurred vision, weight loss, frequent urination, increased thirst",diabetes
hearing difficulty and ear drainage since yesterday,otitis_media
"nasal congestion, trembling, sweating, itchy eyes, rapid heartbeat",anxiety
"Patient reports blurred vision, fractures, weight loss, fatigue, frequent urination,",diabetes
"persistent cough, mucus, chest discomfort",bronchitis
"I have itchy skin, hearing difficulty, dry skin, blisters",eczema
itchy eyes,allergic_rhinitis
"chest discomfort, chills, sore throat, persistent cough",influenza
Patient reports shortness of breath for several months,anemia
mild sleep disturbance,depression
"loss of taste, loss of smell, dry cough",covid-19
"nasal congestion, runny nose, itchy eyes, sneezing",allergic_rhinitis
"loss of appetite, nausea",appendicitis
"visual aura, severe headache, nausea for a week",migraine
restlessness,anxiety
"Patient reports fever, hearing difficulty and ear pain",otitis_media
"fatigue, persistent sadness, sleep disturbance, loss of interest",depression
mild cough and runny nose,common_cold
"increased thirst, fatigue, blurred vision, weight loss and frequent urination",diabetes
"burning urination, frequent urination, lower abdominal pain, fractures, urgency, bone pain",urinary_tract_infection
"loss of appetite, fever and nausea",appendicitis
"blurred vision, fatigue, headache, loss of taste",hypertension
"night cough, shortness of breath, fatigue, fever, body a",influenza
"Patient reports shortness of breath, mucus",bronchitis
"severe headache, visual aura, sensitivity to light, nausea",migraine
blurred vision and dizziness,hypertension
"itchy eyes, runny nose",allergic_rhinitis
fatigue and persistent sadness,depression
"chest pain, shortness of breath, left arm pain for a week",heart_disease
visual aura,migraine
"left arm pain, sweating, shortness of breath, chest pain",heart_disease
"severe productive cough, loss of interest and sleep disturbance",depression
"burning urination, urgency, frequent urination",urinary_tract_infection
"fever, ear pain, fatigue, ear drainage and hear",otitis_media
shortness of breath and night cough,asthma
"bone pain, fractures, itchy eyes, runny nose, loss of height, back pain",osteoporosis
productive cough for 2 days,pneumonia
sleep disturbance and loss of interest,depression
"red patches, chills, itchy skin, dry skin",eczema
"Patient reports nausea, visual aura, sensitivity to light",migraine
"itchy eyes, sneezing, nasal congestion and runny nose",allergic_rhinitis
"blurred vision, frequent urinatio",diabetes
shortness of breath,pneumonia
"sneezing, nasal congestion, rapid heartbeat, restlessness",anxiety
"visual aura, severe headache",migraine
back pain for several months,osteoporosis
"sneezing, mild cough, chest discomfort since yesterday",common_cold
"sweating, restlessness",anxiety
"itchy skin, runny nose, dry skin, red patches, sneezing, blisters for several months",eczema
sensitivity to light and nausea,migraine
"fatigue, fever, body ache, sore throat",influenza
severe pale skin,eczema
wheezing for 2 days,asthma
shortness of breath,asthma
"severe headache, nausea, visual aura",migraine
"productive cough, rapid heartbeat, restlessness, shortness of breath",anxiety
shortness of breath,bronchitis
"sore throat, chills",influenza
"I have persistent sadness, frequent urination, sleep disturbance, lower abdominal pain, fatigue for a week",depression
"I have moderate stomach cramps, diarrhea, nausea",gastroenteritis
nasal congestion,common_cold
"Complains of frequent urination, fractures, back pain, loss of height and bone pain",osteoporosis
"lower abdominal pain, frequent urination",urinary_tract_infection
"severe headache, dizziness",hypertension
"Complains of fever, shortness of breath, productive cough",pneumonia
mild weight loss,diabetes
"itchy skin, dry skin, blisters, red patches",eczema
"fever, ear pain, ear drainage",otitis_media
chest discomfort,bronchitis
ear pain for several months,otitis_media
"loss of appetite, right lower abdominal pain, nausea, fever",appendicitis
"Complains of sneezing, itchy eyes, nas",allergic_rhinitis
"severe visual aura, sensitivity to light, nausea",migraine
"restlessness, night cough and sweating",anxiety
"fever, loss of smell, fatigue",covid-19
shortness of breath,anemia
"I have fever, loss of smell",covid-19
sneezing,common_cold
fever and productive cough,pneumonia
"severe frequent urination, lower abdominal pain, fever, urgency, burning urination",urinary_tract_infection
severe headache,migraine
"I have loss of smell, loss of taste, dry cough, fever, fatigue for 2 days",covid-19
"moderate pale skin, fatigue",anemia
"shortness of breath, chest pain, chest tightness, wheezing, night cough",asthma
"rapid heartbeat, sweating and trembling",anxiety
lower abdominal pain,urinary_tract_infection
"left arm pain, sweating, chest tightnes",heart_disease
"Patient reports shortness of breath, chest pain",heart_disease
"moderate vomiting, stomach cramps",gastroenteritis
"Complains of dizziness, headach",hypertension
"itchy skin, red patches, fractures, dry skin, blisters",eczema
"I have fever, loss of smell, fatigue and loss of taste",covid-19
moderate itchy eyes,allergic_rhinitis
"blurred vision, persistent cough, headache, dizziness since yesterday",hypertension
loss of appetite,appendicitis
"persistent sadness, loss of interest, fatigue and sleep disturbance",depression
"diarrhea, nasal congestion",common_cold
"loss of taste, loss of smell, dry cough",covid-19
"shortness of breath, night cough, wheezing, chest tightness",asthma
"left arm pain, shortness of breath, sweating",heart_disease
Patient reports frequent urination since ye,urinary_tract_infection
"cough, fever",influenza
"mild back pain, mucus and fractures since yesterday",osteoporosis
sweating since yesterday,anxiety
"body ache, chills, sore throat, fever, fatigue, cough",influenza
"blisters, dry skin, itchy skin, red patches",eczema
"Patient reports fever, red patches, productive cough",pneumonia
"loss of appetite, right lower abdominal pain, nausea",appendicitis
"I have sneezing, mild cough, runny n",common_cold
"sneezing, fever, nausea, runny nose and nasal congestion",allergic_rhinitis
"nausea, fever, right lower abdominal pain, loss of appetite",appendicitis
"Complains of nosebleed, sweating, trembling, rapid heartbeat, restlessness",anxiety
"I have frequent urination, urgency, burning urination and lower abdominal pain",urinary_tract_infection
"hearing difficulty, ear drainage and fever",otitis_media
"mild nausea, loss of appetite, right lower abdominal pain and fever",appendicitis
"hearing difficulty, shortness of breath, pale skin",otitis_media
"shortness of breath, dizziness",anemia
"Patient reports dry cough, loss of taste, fatigue for 2 days",covid-19
I have blurred vision,urinary_tract_infection
sweating,heart_disease
loss of interest,depression
"Complains of mild productive cough, fever, chest pain, shortness of breath",pneumonia
"night cough, chest tightness and wheezing",asthma
dizziness,hypertension
"mild sleep disturbance, fatigue",depression
"ear pain, hearing difficulty, ear drainage, fever",otitis_media
"sore throat, cough, body ache, fatigue and chills",influenza
loss of taste and fever,covid-19
I have hearing difficulty and ear drainage for a week,otitis_media
restlessness,anxiety
itchy eyes,allergic_rhinitis
"runny nose, itchy eyes, sneezing, nasal congestion",allergic_rhinitis
"fractures, back pain",osteoporosis
nausea,gastroenteritis
"rapid heartbeat, restlessness, sweating",anxiety
"burning urination, urgency, frequent urination, lower abdominal pain",urinary_tract_infection
fever,pneumonia
"nausea, vomiting, stomach cramps, diarrhea",gastroenteritis
"sweating, chest pain",heart_disease
"mild dry cough, fatigue, loss of taste, loss of smell and fatigue",covid-19
hearing difficulty,otitis_media
"I have headache, nosebleed, blurred vision and dizziness",hypertension
blisters,eczema
"shortness of breath, nausea and severe headache",heart_disease
"sweating, rapid heartbeat, trembling",anxiety
fever,otitis_media
bone pain for 2 days,osteoporosis
"fatigue, shortness of breath, dizziness and pale skin",anemia
"I have mild ear drainage, ear pain, fever, hearing difficulty for several months",otitis_media
"sneezing, nasal congestion, weight loss for several months",allergic_rhinitis
"sweating, rapid heartbeat",anxiety
"hearing difficulty, fever, ear drainage, sneezing since yesterday",otitis_media
pale skin,anemia
"headache, nosebleed",hypertension
"dry skin, blisters, itchy skin for 2 days",eczema
"night cough, wheezing",asthma
"I have blisters, dry skin, red patches",eczema
stomach cramps and diarrhea,gastroenteritis
"Complains of blurred vision, weight loss, frequent urination, severe headache, fatigue, increased thirst",diabetes
"left arm pain, sweating, chest pain",heart_disease
"runny nose, ear pain, sneezing and hearing difficulty",otitis_media
"fatigue, blurred vision, weight loss, frequent urination",diabetes
"nausea, stomach cramps",gastroenteritis
"lower abdominal pain, urgency, frequent urination",urinary_tract_infection
"nasal congestion, shortness of breath, sneezing, mild cough",common_cold
"fatigue, weight loss, fever, loss of appetite, frequent urination",diabetes
fatigue and sore throat,influenza
"body ache, chills, cough, fatigue",influenza
"persistent cough, mucus, chest discomfort and shortness of breath",bronchitis
severe ear pain,otitis_media
"lower abdominal pain, burning urination, frequent urination",urinary_tract_infection
"restlessness, fatigue",depression
fractures,osteoporosis
"chest tightness, shortness of breath, wheezing and night cough",asthma
"loss of height, bone pain for 2 days",osteoporosis
"Complains of blisters, red patches, dry skin and itchy skin since yesterday",eczema
"blisters, dry skin, red patches",eczema
"ear drainage, ear pain, hearing difficulty, fever",otitis_media
"loss of appetite, right lower abdominal pain, nausea, fever",appendicitis
"increased thirst, weight loss, frequent urination, body ache and blurred vision",diabetes
"fatigue, loss of taste, loss of smell",covid-19
"severe frequent urination, increased thirst, weight loss for 2 days",diabetes
chest discomfort,bronchitis
"severe wheezing, chest tightness",asthma
"Complains of back pain, wheezing, loss of height, bone pain, fractures",osteoporosis
"sweating, back pain, loss of height",osteoporosis
runny nose,allergic_rhinitis
right lower abdominal pain,appendicitis
"increased thirst, weight loss, fatigue and blurred vision",diabetes
sleep disturbance,depression
"urgency, lower abdominal pain, burning urination",urinary_tract_infection
"fatigue, dry cough",covid-19
"nosebleed, blurred vision, headache",hypertension
"frequent urination, lower abdominal pain, back pain",urinary_tract_infection
"trembling, restlessness",anxiety
"wheezing, shortness of breath, chest tightness for a week",asthma
"itchy skin, dry skin",eczema
"fatigue, persistent sadness, restlessness, loss of interest, sleep disturbance",depression
"fatigue, pale skin and shortness of breath",anemia
"chest tightness, night cough",asthma
"loss of height, back pain",osteoporosis
"runny nose, itchy eyes, sneezing, nasal congestion",allergic_rhinitis
"dizziness, pale skin, fatigue",anemia
"red patches, itchy skin, blisters and dry skin",eczema
"wheezing, chest pain, chest tightness for a week",asthma
nasal congestion,depression
fatigue,anemia
"frequent urination, blurred vision, fatigue, increased thirst",diabetes
loss of interest,depression
nausea,migraine
"nosebleed, vomiting, blurred vision, stomach cramps",gastroenteritis
"fever, vomiting, stomach cramps, lo",gastroenteritis
"burning urination, urgency, low",urinary_tract_infection
"Patient reports fever, fever",covid-19
blurred vision and chest discomfort,bronchitis
"sleep disturbance, sensitivity to light",depression
"ear drainage, hearing difficulty for several months",otitis_media
"red patches, itchy skin, dry skin for several months",eczema
I have fatigue,influenza
shortness of breath,bronchitis
"productive cough, shortness of breath",pneumonia
"stomach cramps, nausea",gastroenteritis
"fractures, loss of height, back pain",osteoporosis
"nausea, severe headache, sensitivity to light and visual aura",migraine
"red patches, itchy skin, blisters",eczema
"fever, nasal congestion",appendicitis
"shortness of breath, night cough and chest tightness",asthma
"red patches, itchy skin, dry skin for several months",eczema
"productive cough, stomach cramps, diarrhea, shortness of breath",gastroenteritis
"shortness of breath, fatigue",anemia
"Complains of bone pain, loss of height, back pain since yesterday",osteoporosis
hearing difficulty and fever,otitis_media
"I have fever, itchy eyes, nasal congestion and sneezing",allergic_rhinitis
"mild vomiting, stomach cramps, diarrhea",gastroenteritis
"productive cough, fever, chest pain, shortness of breath",pneumonia
"shortness of breath, chest pain, left arm pain, sweating",heart_disease
shortness of breath and left arm pain,heart_disease
Complains of shortness of breath for several months,bronchitis
"shortness of breath, wheezing, chest tightness",asthma
nausea,gastroenteritis
"wheezing, night cough",asthma
"red patches, blisters, itchy skin, dry skin",eczema
"vomiting, nausea",gastroenteritis
"trembling, rapid heartbeat, sweating since yesterday",anxiety
"shortness of breath, persistent cough, chest discomfort, mucus",bronchitis
"severe itchy skin, blisters, red patches, dry skin, runny nose for 2 days",eczema
"lower abdominal pain, urgency since yesterday",urinary_tract_infection
"Patient reports runny nose, mild cough, sneezing, nasal congestion",common_cold
"dizziness, fatigue, shortness of breath and pale skin",anemia
sweating,heart_disease
"loss of smell, fever, dry skin and loss of taste",covid-19
sore throat,influenza
wheezing,asthma
"fever, chest pain",pneumonia
I have runny nose,allergic_rhinitis
"lower abdominal pain, urgency, frequent urination, increased thirst",urinary_tract_infection
"fatigue, loss of taste, loss of smell, fever and dry cough",covid-19
"nausea, loss of appetite",appendicitis
"loss of height, fractures",osteoporosis
"fatigue, loss of interest since yesterday",depression
"restlessness, trembling, rapid heartbeat",anxiety
"I have shortness of breath, wheezing, night cough, chest ti",asthma
"sensitivity to light, nausea, vomiting and visual aura",migraine
"dry cough, fever, red patches",covid-19
"loss of height, fractures, back pain, bone pain",osteoporosis
"Complains of diarrhea, restlessness, stomach cramps for several months",anxiety
"fever, nausea, loss of appetite, right lower abdominal pain",appendicitis
"sleep disturbance, loss of interest, fatigue, persistent sadness for 2 days",depression
nausea,gastroenteritis
"back pain, nausea, severe headache, sensitivity to light and visual aura",migraine
moderate ear drainage,otitis_media
fatigue and body ache,influenza
"Patient reports moderate loss of smell, fever and fatigue",covid-19
Patient reports loss of appetite,appendicitis
loss of height,osteoporosis
"Patient reports loss of interest, persistent sadness",depression
"dizziness, blurred vision, nosebleed",hypertension
body ache,influenza
left arm pain,influenza
"moderate chest tightness, nausea, night cough, shortness of breath, wheezing, vomiting",asthma
"Patient reports mild cough, nasal congestion, sneezing",common_cold
rapid heartbeat,anxiety
"Patient reports shortness of breath, dizziness, pale skin and fatigue",anemia
I have loss of appetite since yesterday,appendicitis
Complains of nausea and diarrhea,gastroenteritis
"blisters, itchy skin, dry skin for 2 days",eczema
"back pain, fractures, loss of height, lower abdominal pain, bone pain for a week",osteoporosis
"sweating, chest pain, shortness of breath",heart_disease
"dry skin, red patches, blisters since yesterday",eczema
"urgency, burning urination, frequent urination, lower abdominal pain",urinary_tract_infection
"shortness of breath, chest discomfort, mucus for 2 days",bronchitis
"restlessness, shortness of breath, trembling, wheezing, chest tightness",asthma
"wheezing, night cough, chest tightness and shortness of breath",asthma
"blurred vision, fatigue, weight loss, frequent urination, increased thirst",diabetes
"ear pain, fever, hearing difficulty",otitis_media
"moderate pale skin, dry cough, shortness of breath, dizziness, fatigue, fatigue",anemia
chest pain,heart_disease
"I have hearing difficulty, ear drainage, ear pain",otitis_media
"nasal congestion, sneezing, runny nose, mild cough",common_cold
"itchy eyes, sneezing, fever",influenza
"nosebleed, fever, nausea, right lower abdominal pain",appendicitis
"weight loss, frequent urination",diabetes
"severe fever, cough and body ache",influenza
"stomach cramps, runny nose, nasal congestion",common_cold
"burning urination, urgency, lower abdominal pain",urinary_tract_infection
"sensitivity to light, severe headache",migraine
"persistent cough, chest discomfort",bronchitis
itchy eyes and runny nose,allergic_rhinitis
rapid heartbeat,anxiety
"visual aura, sensitivity to light, nausea, nausea, fever",migraine
"runny nose, sneezing, nasal co",allergic_rhinitis
persistent cough since yesterday,bronchitis
"chest pain, fever, productive cough",pneumonia
"nausea, severe headache",migraine
"sore throat, cough, fatigue, chills, body ache, fever",influenza
bone pain and back pain,osteoporosis
bone pain,bronchitis
"stomach cramps, severe headache, diarrhea, nau",gastroenteritis
"fever, cough",influenza
"I have visual aura, nausea, sensitivity to light, severe headache since yesterday",migraine
Patient reports loss of taste,covid-19
nausea,migraine
fatigue,diabetes
"moderate headache, blurred vision, dizziness since yesterday",hypertension
"stomach cramps, nasal congestion, nausea, mild cough, sneezing, runny nose",common_cold
"shortness of breath, pale skin, dizziness",anemia
"frequent urination, lower abdominal pain, urgency",urinary_tract_infection
"sensitivity to light, nausea, s",migraine
"dizziness, headache, blurred vision, nosebleed",hypertension
"right lower abdominal pain, nausea, loss of appetite",appendicitis
"persistent sadness, loss of interest, sleep disturbance",depression
"productive cough, chest pain, fever",pneumonia
"sneezing, mucus, mild cough, chest discomfo",bronchitis
blurred vision,diabetes
"fever, productive cough",pneumonia
"vomiting, stomach cramps and diarrhea for several months",gastroenteritis
"severe blurred vision, mucus, fatigue",diabetes
Patient reports left arm pain and shortness of breath,anemia
"sneezing, mild cough, nasal congestion, nasal congestion",common_cold
Complains of fatigue and blurred vision,diabetes
"persistent cough, chest discomfort, shortness of breath, mucus",bronchitis
Patient reports wheezing,asthma
mild persistent sadness,depression
"ear drainage, hearing difficulty",otitis_media
shortness of breath and chest discomfort,bronchitis
frequent urination and fatigue,diabetes
"bone pain, fractures",osteoporosis
hearing difficulty,otitis_media
"runny nose, sneezing for 2 days",allergic_rhinitis
"urgency, lower abdominal pain,",urinary_tract_infection
severe diarrhea,gastroenteritis
"burning urination, runny nose for a week",allergic_rhinitis
"runny nose, itchy eyes and sneezing for 2 days",allergic_rhinitis
"wheezing, chest tightness and night cough",asthma
Complains of sweating for 2 days,heart_disease
"chest discomfort, persistent cough",bronchitis
"I have moderate chest tightness, shortness of breath and wheezing for several months",asthma
"nasal congestion, runny nose, mild cough, sneezing",common_cold
"diarrhea, stomach cramps, nausea, vomiting",gastroenteritis
"hearing difficulty, ear drainage, ear pain, fever",otitis_media
"shortness of breath, chest pain and sweating",heart_disease
"Patient reports chest pain, sweating, shortness of breath and red patches",heart_disease
nosebleed,hypertension
"persistent sadness, fatigue, sleep disturb",depression
"pale skin, dizziness and fatigue for 2 da",anemia
"productive cough, chest pain for 2 days",pneumonia
shortness of breath,bronchitis
"burning urination, frequent urination",urinary_tract_infection
"Patient reports persistent cough, mucus, shortness of breath",bronchitis
Complains of burning urination,urinary_tract_infection
"fatigue, sore throat, cough, body ache",influenza
"frequent urination, urgency",urinary_tract_infection
"shortness of breath, mucus",bronchitis
Complains of red patches,eczema
moderate nasal congestion and mild cough,common_cold
"I have productive cough, chest pain, nausea, shortness of breath and fever for a week",pneumonia
"Complains of night cough, shortness of breath, ear drainage",otitis_media
"fatigue, sleep disturbance",depression
"nosebleed, back pain and headache",hypertension
increased thirst,diabetes
"shortness of breath, fever, chest pain, shortness of breath, dizziness",pneumonia
"severe back pain, bone pain, fractures, loss of height for 2 days",osteoporosis
"fever, ear pain, ear drainage, blurred vision, hearing difficulty",otitis_media
Patient reports severe headache and visual aura since yesterday,migraine
"red patches, dry skin",eczema
"nausea, visual aura",migraine
"shortness of breath, chest pain",pneumonia
fatigue,anemia
"sneezing, runny nose, shortness of breath, mild cough",common_cold
"severe cough, fever, chills and fatigue for a w",influenza
"restlessness, rapid heartbeat, sweating",anxiety
"persistent sadness, sleep disturbance, loss of interest",depression
"fatigue, frequent urination fo",covid-19
"red patches, dry skin, itchy skin",eczema
"nausea, fever",appendicitis
"persistent cough, urgency, lower abdominal pain, burning urination",urinary_tract_infection
"mucus, persistent cough, chest discomfort",bronchitis
"moderate red patches, itchy skin, loss of smell for 2 days",eczema
"I have mild fever, shortness of breath, chest pain",pneumonia
shortness of breath,covid-19
"I have vomiting, diarrhea, sto",gastroenteritis
"chills, fever, cough, fatigue, body ache, fever for a week",influenza
"dry skin, blisters, red patches",eczema
"shortness of breath, fatigue",anemia
"ear drainage, ear pain, fever",otitis_media
"sneezing, fatigue, weight loss, blurred vision, nasal congestion and frequent urination for several months",diabetes
"urgency, loss of appetite, fever, frequent urination, right lower abdominal pain for several months",appendicitis
"Complains of headache, dizziness",gastroenteritis
Complains of mild runny nose,allergic_rhinitis
"dry skin, headache, itchy skin for 2 days",hypertension
I have loss of height and back pain,osteoporosis
severe sweating,heart_disease
"blurred vision, fatigue and frequent ",diabetes
"fever, fatigue, chills, sore throat",influenza
visual aura,migraine
I have sleep disturbance,anxiety
chest tightness since yesterda,asthma
"runny nose, itchy eyes, nasal congestion",allergic_rhinitis
"Complains of loss of appetite, itchy eyes, sneezing, nasal congestion and runny nose",allergic_rhinitis
moderate red patches,eczema
"fever, hearing difficulty and ear pain",otitis_media
nosebleed,hypertension
"blisters, itchy skin",eczema
sensitivity to light,migraine
"increased thirst, blurred vision, ear pain, weight loss, fatigue, frequent urination",diabetes
"right lower abdominal pain, nausea",appendicitis
"runny nose, itchy eyes",allergic_rhinitis
severe dry skin,eczema
"fatigue, dizziness, shortness of breath",anemia
"mild vomiting, stomach cramps, diarrhea and nausea",gastroenteritis
"body ache, chills",influenza
dizziness and blurred vision,hypertension
"shortness of breath, sweating and left arm pain",heart_disease
"visual aura, sensitivity to light, severe headache and nausea",migraine
"chest pain, shortness of breath, vomiting, stomach cramps",pneumonia
"fatigue, chills",influenza
mild sneezing,allergic_rhinitis
"sweating, left arm pain, chest pain, shortness of breath",heart_disease
"moderate fatigue, persistent sadness, loss of interest, sleep disturbance",depression
"I have lower abdominal pain, urgency, burning urination for 2 days",urinary_tract_infection
"persistent sadness, loss of interest, fatigue for 2 days",depression
"increased thirst, fatigue and weight loss",diabetes
"Complains of chest pain, itchy skin and sweating",heart_disease
"ear drainage, ear pain, fever",otitis_media
dry skin,eczema
"trembling, restlessness",anxiety
"sneezing, mild cough",common_cold
"shortness of breath, sweating, chest pain, shortness of breath",pneumonia
I have sensitivity to light,migraine
"moderate back pain, ear pain, ",osteoporosis
"increased thirst, frequent urination, urgency, burning ",urinary_tract_infection
nosebleed,hypertension
fatigue,gastroenteritis
"pale skin, chest pain, dizziness",anemia
"severe headache, visual aura, nausea, sensitivity to light",migraine
"severe ear drainage, hearing difficulty",otitis_media
diarrhea and nausea,gastroenteritis
"left arm pain, chest pain, shortness of breath, sweating and itchy skin",heart_disease
"fatigue, shortness of breath",anemia
"nausea, red patches, blisters, dry skin, itchy skin",eczema
"stomach cramps, nausea, vomiting and diarrhea",gastroenteritis
"sweating, shortness of breath, chest pain",heart_disease
"weight loss, blurred vision, increased thir",diabetes
headache,hypertension
loss of taste,covid-19
"stomach cramps, diarrhea, vomiting",gastroenteritis
"stomach cramps, nausea",gastroenteritis
"loss of interest, persistent sadness",depression
"mild itchy skin, red patches, blisters, dry skin",eczema
"rapid heartbeat, sweating, trembling",anxiety
"shortness of breath, chest tightness for a week",asthma
"moderate right lower abdominal pain, increased thirst, frequent urination, fever, fatigue",diabetes
"Patient reports restlessness, fatigue",anxiety
"fatigue, dry cough, loss of taste and loss of smell",covid-19
Patient reports loss of smell for a week,covid-19
"red patches, blisters, dry skin, itchy skin",eczema
"dizziness, fatigue, hearing difficulty, shortness of breath for 2 days",anemia
"dizziness, headache, nosebleed",hypertension
"I have fever, ear pain, ear drainage",otitis_media
nasal congestion,covid-19
"persistent sadness, fatigue, loss of interest and sleep disturbance",depression
ear pain,otitis_media
"left arm pain, lower abdominal pain, sweating, urgency, frequent urination, burning uri",urinary_tract_infection
loss of appetite and fever,appendicitis
"shortness of breath, productive cough",pneumonia
lower abdominal pain,urinary_tract_infection
shortness of breath,bronchitis
"sensitivity to light, visual aura and severe headache",migraine
"fever, body ache, fatigue, cough, chills",influenza
"right lower abdominal pain, nausea, loss of appetite, fever, sneezing",appendicitis
red patches,diabetes
"loss of taste, fatigue, loss of smell, dry cough",covid-19
sensitivity to light,migraine
"mild back pain, fatigue, loss of height, bone pain and fractures",osteoporosis
"wheezing, shortness of breath, night cough",asthma
"severe back pain, fever",otitis_media
loss of interest for a week,depression
"cough, chills, body ache",influenza
"moderate persistent sadness, loss of interest, itchy eyes and fatigue",depression
"hearing difficulty, fever, ear drainage, ear pain",otitis_media
"mild loss of taste, fatigue for 2 days",covid-19
"right lower abdominal pain, nausea, persistent cough, loss of appetite",appendicitis
"diarrhea, stomach cramps, vomiting, chest tightness and nausea",gastroenteritis
"shortness of breath, pale skin and fatigue for a week",anemia
"dry cough, loss of smell, fever and fatigue",covid-19
"fatigue, shortness of breath, dizziness, chest tight",anemia
"mucus, chest discomfort, persistent cough for several months",bronchitis
weight loss,diabetes
Patient reports severe night cough and mild cough,asthma
"rapid heartbeat, trembling, sweatin",anxiety
itchy eyes and sneezing,allergic_rhinitis
dry skin,eczema
restlessness and sweating,anxiety
sneezing,common_cold
moderate sneezing for several months,common_cold
"diarrhea, stomach cramps, nausea, visual aura, sensitivity to light, severe headache",migraine
"itchy skin, blisters",eczema
nausea,gastroenteritis
right lower abdominal pain for several m,appendicitis
visual aura,migraine
"body ache, sore throat, headache, chills, fever, cough",influenza
urgency,urinary_tract_infection
"Patient reports mild cough, increased thirst, blurred vision, weight loss and frequent urination",diabetes
"nosebleed, dizziness, headache, blurred vision",hypertension
"red patches, itchy skin, dry skin for several months",eczema
"restlessness, weight loss for a week",diabetes
ear drainage,otitis_media
"right lower abdominal pain, nausea, fever and loss of appetite for 2 days",appendicitis
"severe fever, shortness of breath, chest pain",pneumonia
"trembling, rapid heartbeat, chest discomfort, restlessness, sweating, persistent cough",anxiety
"Patient reports frequent urination, blisters, dry skin, itchy skin and red patches",eczema
"loss of interest, sleep disturbance, fatigue, persistent sadness",depression
dry skin,eczema
"severe fever, ear drainage",otitis_media
"runny nose, nasal congestion",common_cold
"I have fatigue, cough",influenza
"Complains of severe fractures, bone pain, loss of height, back pain, itchy skin, red patches",osteoporosis
"cough, chills, fatigue, body ache, fever, sore throat",influenza
"visual aura, sensitivity to light, severe headache",migraine
fever,appendicitis
"chest pain, shortness of breath, left arm pain, sweating",heart_disease
"shortness of breath, shortness of breath, chest discomfort, persistent cough",bronchitis
"frequent urination, urgency, burning urination, lower abdominal pain for a week",urinary_tract_infection
"I have fractures, mild cough and bone pain",osteoporosis
Patient reports fever and hearing difficulty,otitis_media
itchy skin,eczema
"headache, blurred vision",hypertension
Patient reports weight loss,diabetes
mucus,pneumonia
"Patient reports persistent sadness, fatigue, fever, sleep disturbance, loss of interest",depression
"nasal congestion, runny nose, itchy eyes, fever",allergic_rhinitis
"mucus, vomiting",bronchitis
"fever, hearing difficulty and ear drainage",otitis_media
"nausea, diarrhea",gastroenteritis
"headache, blurred vision, loss of appetite, nosebleed",hypertension
"moderate chest discomfort, mucus, persistent cough",bronchitis
"hearing difficulty, ear drainage",otitis_media
"ear pain, itchy skin, dry skin and red patches",eczema
"chest tightness, persistent sadness, wheezing, shortness of breath, ",asthma
"fever, shortness of breath, persistent cough, chest pain, productive cough",pneumonia
"severe itchy eyes, nasal congestion, sneezing, runny nose",allergic_rhinitis
"shortness of breath, sweating, chest pain",heart_disease
"visual aura, loss of smell and nausea",migraine
"mild blurred vision, headache, dizziness, sweating",hypertension
"wheezing, night cough, shortness of breath, cough",asthma
"sweating, restlessness, rapid heartbeat, trembling",anxiety
"loss of appetite, nausea, fever for 2 days",appendicitis
"vomiting, diarrhea, nausea, stomach cramps for 2 days",gastroenteritis
itchy skin,eczema
vomiting,gastroenteritis
"ear drainage, ear pain",otitis_media
"runny nose, sneezing and runny nose",common_cold
"nausea, stomach cramps",gastroenteritis
"fever, shortness of breath, chest pain, productive cough",pneumonia
"urgency, lower abdominal pain and burning urination",urinary_tract_infection
diarrhea and nausea for several months,gastroenteritis
I have nausea for 2 days,migraine
"mild sleep disturbance, fatigue, persistent sadness and loss of interes",depression
itchy skin,eczema
"persistent cough, chest discomfort",bronchitis
"hearing difficulty, ear pain, ear drainage",otitis_media
itchy eyes,allergic_rhinitis
"headache, lower abdominal pain and nosebleed",hypertension
"night cough, left arm pain, wheezing, shortness of breath, sweating since yesterday",heart_disease
"nasal congestion, sneezing",common_cold
"runny nose, nasal congestion, sneezing",common_cold
"mild blisters, dry skin, itchy skin",eczema
"diarrhea, nausea",gastroenteritis
frequent urination for a week,urinary_tract_infection
I have chest pain,otitis_media
mild cough,common_cold
"I have stomach cramps, vomiting, nausea, diarrhea",gastroenteritis
